tangent;相切的，切线
carbide;碳化物
dimensionless;无量纲化
drier;干燥机
insolute;绝缘，隔离
propel;推行
spline;花键
dedendum;齿根高
intervention;介入，干预
advantageous;有利的
thrust bearing;推力轴承
parameter;参变量，参量，参数
solute;溶质
elongation;延展率
initiate;开始
pitting;点蚀
normalizing;正火
execution;执行，施行
fire-resistant;耐火的，不燃烧的
convergence;收敛
multimedia;多媒体
viscous;粘性的
innovation;改革，革新
stainless;不锈的
stiffness;刚性，稳定性
ratify;批准，认可
involuate;渐近线
brazing;铜焊
oxidition;氧化（作用）
modification;修改
pneumatic;气动的，空气的
milling;铣加工
tablet;小片，小块
subsystem;子系统
watertight;防水的，防渗的
bypass;支路，旁路
artery;干线，动脉
extract;抽出，挤干
pearlite;珠光体
designation;命名，名称
rotor;转子，转轴
wavelength;波长
reliable;可靠性
denote;表示
backlash;齿隙
cementite;渗碳体
absorption;吸收
taper;锥形的
axle;车轴
axial;轴向的
oxide;氧化物
gauge;测量表
machinability;切削性，机械加工性
abrasive;研磨的，磨料的
deadlock;停顿
attribute;把...归于
weldability;可焊性
extrusion;热压，挤压
decimal;十进制
disturbance;扰动，干扰
alloy;合金
traditional;传统的，惯例的
arc;弧
differential;微分
electrochemical;电化学的
harden;淬火
adverse;相反的
accommodate;使适应
deflect;使偏移
climax;顶点
compensate;补偿
ventilation;通风
fillet;倒角
coupling;联轴器
self-locking;自锁
anti-clockwise;逆时针的
degrade;降级，衰变
foam;泡沫，海绵
abrupt;突然的
activate;启动
flange;凸缘
realize;实现
ductility;可延展性
shaving;刮
numerator;分子
aqueous;水的
cutting fluid;切削液
optimization;最优化，最佳化
merge;合并，消失
durability;耐久性
dissipate;消散，驱散
contaminate;污染
compressive;可压缩的
sprocket;链轮
configuration;配置，结构，外形
amplitude;振幅
designer;设计者
lining;衬里（层）
austenite;奥氏体
ambient;周围的
purify;净化，使纯净
connector;接头，连接物
scanner;扫描器
metallurgical;冶金的，冶金学的
smoothness;光滑度，光洁度
fluctuate;波动
workpiece;工件
vortex;涡旋，涡流
spur gear;直齿圆柱齿轮
ascribe;把...归因于
seam;焊缝
apex;顶点
ammonia;氨
smear;涂抹，击破
thread;线，螺纹，加工螺纹
boiler;锅炉
cutlery;刀具，刃具
generalize;归纳
warehouse;仓库，货仓
unpredictable;不可预见的，不可预料的
undercutting;（齿轮）根切
constrain;强迫，约束
martensite;马氏体
mesh;啮合
temper;回火
unavoidable;不可避免的
buffer;缓冲器
coefficient;系数
worm-gear;蜗轮
pitch;（齿轮）节
conveyor;传送器，运输机
robotics;机器人学
microscopic;微观的
lubricant;润滑剂
expel;排，出，挤出
collide;碰撞
ignite;点火，点燃
coincide;相重合
cold-working;冷加工
bachelor;学士
gain;增益(系数)，放大(系数/率)，增量
centrifugal;离心的
screwdriver;活动扳手，螺丝起子
concurrently;同时，兼
malfunction;失灵，故障
equilibrium;平衡，均衡
diffuse;扩散
idealize;使理想化
donate;贡献出
compatible;相容的
amplification;扩大，放大
fabrication;生产，制造，加工
addendum;齿顶高
withstand;经得起，耐得住
algorithm;算法
hydraulic;与水有关的，水力的，水压的
arena;活动场所
common normal;公法线
intermittent;间断的，断断续续的
graphite;石墨
coating;涂层
vicinity;附近
gearing;(两齿轮)传动装置
manipulate;操纵，利用，操作
congregate;聚集
accessory;附件，辅助设备
subscript;下标，注脚
superimpose;迭加，安装
shaping;刨
visualize;可视，检查
keyway;键槽
multifunctional;多功能的
downfall;落下
cutting angle;切削角
profile;轮廓，断面
clamp;夹紧装置
supporter;支架
microwave;微波
nonlinear;非线性
deduce;推论，演绎
investigation;调查，研究
endurance;持久性
cantilever;悬臂梁
complexity;复杂，复杂性，复杂的事物
slag;矿渣
sulfur;硫
antenna;天线
sleeve;套筒
agitate;搅动
casting;铸件，铸造
dynamo;发电机
non-ferrous;非铁的
stationary;不动的
embody;包含
rupture;破裂，断裂
elastomer;合成橡胶
integral;总体的，完整的，积分的
adhere;黏附，胶合
abnormal;反常
symposium;讨论会
combustion;燃烧
designate;指定，称为
fume;烟雾，烟
safety factor;安全系数
hinge;铰接，铰链
fabricate;制造，生产，加工
cam;凸轮
handbook;手册
inlet;入口，进口
flexibility;灵活性，机动性，柔韧性
overflow;溢出
microprocessor;微处理器
interchangeability;互换性，可交换性
permanently;永久，不变，持久
damp;衰减，阻尼
drawback;缺点
yielding;柔性的，易弯曲的
gradient;斜度，梯度
astronaut;宇航员
versatility;多适应性
forging;锻造
analytical;分析的
homogeneous;均匀的，同质的
recycle;再循环，反复利用
consecutive;连续的，连贯的
journal bearing;滑动轴承
spindle;轴
gasket;垫圈，填料
sensor;传感器，检测器
agitator;搅拌器
detrimental;有害的
quench;淬火
lubrication;润滑
unify;统一，（合）成一体
Celsius;摄氏的
detain;阻止
descent;下降
opaque;不透明的
adjacent;接近的，临近的
adhesive;附着的
accelerator;加速器，加速剂
erase;擦去，消除
